日付,終値,前日比
2026/07/03,7280,106
2026/07/02,7174,-165
2026/07/01,7339,28
2026/06/30,7311,72
2026/06/29,7239,14
2026/06/26,7225,-313
2026/06/25,7538,328
2026/06/24,7210,-72
2026/06/23,7282,-277
2026/06/22,7559,129
2026/06/19,7430,33
2026/06/18,7397,109
2026/06/17,7288,62
2026/06/16,7226,6
2026/06/15,7220,347
2026/06/12,6873,181
2026/06/11,6692,-8
2026/06/10,6700,-104
2026/06/09,6804,135
2026/06/08,6669,-274
2026/06/05,6943,-81
2026/06/04,7024,-105
2026/06/03,7129,182
2026/06/02,6947,-24
2026/06/01,6971,83
2026/05/29,6888,147
2026/05/28,6741,-38
2026/05/27,6779,23
2026/05/26,6756,-42
2026/05/25,6798,215
2026/05/22,6583,164
2026/05/21,6419,183
2026/05/20,6236,-82
2026/05/19,6318,-20
2026/05/18,6338,-62
2026/05/15,6400,-128
2026/05/14,6528,-61
2026/05/13,6589,60
2026/05/12,6529,33
2026/05/11,6496,-21
2026/05/08,6517,-46
2026/05/07,6563,379
2026/05/01,6184,15
2026/04/30,6169,-72
2026/04/28,6241,-70
2026/04/27,6311,100
2026/04/24,6211,54
2026/04/23,6157,-40
2026/04/22,6197,25
2026/04/21,6172,56
2026/04/20,6116,21
2026/04/17,6095,-115
2026/04/16,6210,161
2026/04/15,6049,27
2026/04/14,6022,139
2026/04/13,5883,-33
2026/04/10,5916,95
2026/04/09,5821,-42
2026/04/08,5863,296
2026/04/07,5567,12
2026/04/06,5555,28
2026/04/03,5527,64
2026/04/02,5463,-127
2026/04/01,5590,259
2026/03/31,5331,-60
2026/03/30,5391,-139
2026/03/27,5530,-6
2026/03/26,5536,-15
2026/03/25,5551,144
2026/03/24,5407,84
2026/03/23,5323,-194
2026/03/19,5517,-198
2026/03/18,5715,165
2026/03/17,5550,-2
2026/03/16,5552,-9
2026/03/13,5561,-66
2026/03/12,5627,-51
2026/03/11,5678,73
2026/03/10,5605,145
2026/03/09,5460,-292
2026/03/06,5752,37
2026/03/05,5715,106
2026/03/04,5609,-213
2026/03/03,5822,-174
2026/03/02,5996,-82
2026/02/27,6078,-3
2026/02/26,6081,10
2026/02/25,6071,138
2026/02/24,5933,55
2026/02/20,5878,-68
2026/02/19,5946,35
2026/02/18,5911,69
2026/02/17,5842,-28
2026/02/16,5870,-13
2026/02/13,5883,-81
2026/02/12,5964,8
2026/02/10,5956,127
2026/02/09,5829,221
2026/02/06,5608,-3
2026/02/05,5611,-44
2026/02/04,5655,-52
2026/02/03,5707,217
2026/02/02,5490,-56
2026/01/30,5546,-9
2026/01/29,5555,5
2026/01/28,5550,5
2026/01/27,5545,36
2026/01/26,5509,-96
2026/01/23,5605,13
2026/01/22,5592,99
2026/01/21,5493,-27
2026/01/20,5520,-61
2026/01/19,5581,-40
2026/01/16,5621,-17
2026/01/15,5638,-27
2026/01/14,5665,90
2026/01/13,5575,167
