日付,終値,前日比
2026/07/03,6057,-32
2026/07/02,6089,114
2026/07/01,5975,-37
2026/06/30,6012,-14
2026/06/29,6026,-46
2026/06/26,6072,124
2026/06/25,5948,-2
2026/06/24,5950,26
2026/06/23,5924,-44
2026/06/22,5968,-107
2026/06/19,6075,-12
2026/06/18,6087,16
2026/06/17,6071,-28
2026/06/16,6099,29
2026/06/15,6070,-107
2026/06/12,6177,-128
2026/06/11,6305,141
2026/06/10,6164,94
2026/06/09,6070,-65
2026/06/08,6135,162
2026/06/05,5973,-52
2026/06/04,6025,-87
2026/06/03,6112,-20
2026/06/02,6132,64
2026/06/01,6068,-99
2026/05/29,6167,69
2026/05/28,6098,-17
2026/05/27,6115,-4
2026/05/26,6119,22
2026/05/25,6097,-37
2026/05/22,6134,-99
2026/05/21,6233,-113
2026/05/20,6346,-107
2026/05/19,6453,110
2026/05/18,6343,42
2026/05/15,6301,47
2026/05/14,6254,74
2026/05/13,6180,122
2026/05/12,6058,-106
2026/05/11,6164,395
2026/05/08,5769,-168
2026/05/07,5937,51
2026/05/01,5886,21
2026/04/30,5865,86
2026/04/28,5779,-2
2026/04/27,5781,-48
2026/04/24,5829,-37
2026/04/23,5866,194
2026/04/22,5672,-85
2026/04/21,5757,-33
2026/04/20,5790,-10
2026/04/17,5800,-47
2026/04/16,5847,-50
2026/04/15,5897,2
2026/04/14,5895,-58
2026/04/13,5953,-20
2026/04/10,5973,-61
2026/04/09,6034,-47
2026/04/08,6081,-5
2026/04/07,6086,-12
2026/04/06,6098,-7
2026/04/03,6105,100
2026/04/02,6005,-71
2026/04/01,6076,56
2026/03/31,6020,-36
2026/03/30,6056,78
2026/03/27,5978,-5
2026/03/26,5983,33
2026/03/25,5950,130
2026/03/24,5820,127
2026/03/23,5693,-154
2026/03/19,5847,-118
2026/03/18,5965,87
2026/03/17,5878,72
2026/03/16,5806,95
2026/03/13,5711,51
2026/03/12,5660,-128
2026/03/11,5788,45
2026/03/10,5743,83
2026/03/09,5660,-54
2026/03/06,5714,34
2026/03/05,5680,7
